topic,mean_reaction,mean_sentiment,mean_confidence,avg_views,n_posts,example_post
-1,0.24438735177865614,-0.3333026932622484,0.7908684110209196,234038.05363544443,21758,"Семье погибшего в результате ночных прилетов уроженца Липецка выплатят 500 тыс. рублей из средств благотворительного фонда, сообщил мэр Сочи Андрей Прошунин. «Проработан порядок оказания всей необходимой поддержки жителям поврежденных домовладений. Осколками посекло фасады семи домов и несколько автомобилей, и здесь мы уже приступили к ликвидации последствий». Фото: agproshunin Самые важные новости — в телеграм-канале РБК"
0,0.0,-1.0,0.8109494853061396,419039.02214452217,858,"Россию совершенно не устраивает вступление Украины в НАТО, подчеркнул Путин"
6,-0.49693591455273695,-1.0,0.8080063887209058,153708.35380507342,749,"Делаем картинки за несколько секунд: Hailuo AI выпустили свой генератор изображений Image-01. Бесплатных кредитов хватит на 1100 картинок. Модель справляется с портретами, гиперреализмом, рекламными баннерами. Можно вводить промты до 800 символов. Забираем тут."
4,0.09086206896551724,-0.9641379310344828,0.8012923136250726,262927.1544827586,725,"Poizon ОФИЦИАЛЬНО вышел на российский рынок — журналисты получили ответ от Shanghai Dewu Information Group Co Это компания, которая управляет маркетплейсом в Китае — они подтвердили запуск в РФ изданию Shoppers: Сайт thepoizon.ru и приложение, запущенные в настоящее время в России являются частью глобальной стратегии экспансии Dewu. Платформа официально авторизована Shanghai Dewu Information Group Co. Там заявили, что запущенные в России сайт и приложение полностью официальные — что за эмоциональные качели — ура, новым педалям на лето быть!"
1,-0.5172678018575851,-1.0,0.8081031967150537,126325.79411764706,646,"В подмосковной Ивантеевке загорелся частный дом после падения обломков сбитого дрона, сообщил губернатор Андрей Воробьёв. «По предварительным данным, пострадавших нет. В момент взрыва в доме находился мужчина — он смог самостоятельно эвакуироваться. Сейчас его осматривают медики»"
2,0.159354943273906,0.24149108589951376,0.7733955371708305,248531.80226904375,617,"Мэр Владимира Наумов обвиняется в получении взятки на 1,1 млн руб от представителей сферы ритуальных услуг, сообщили в СК. Обвиняемый содействовал изданию нормативного акта о похоронном деле, которым фактически ограничивались права других участников ритуального бизнеса. За это фигурант получил взятку от заместителя директора МКУ «Центр управления городскими дорогами» У Наумова в ходе обысков изъяты деньги, украшения, дорогостоящий автомобиль и иные объекты. Кроме того, взяткодатели наряду с еще одиннадцатью соучастниками являются фигурантами уголовного дела о хищении организованной преступной группой средств граждан при оказании ритуальных услуг на сумму более 5 млн рублей"
3,-0.0006309314586994728,1.0,0.7511570073912978,434431.6344463972,569,"Слухи о плохом самочувствии Игоря Стрелкова, отбывающего наказание в кировской колонии, не соответствуют действительности, сообщили РИА Новости в УФСИН по региону. О том, что Стрелкову якобы стало хуже в колонии, писали недавно в Telegram-каналах"
20,0.6356968503937008,-0.5590551181102362,0.8013480872385145,196951.73228346457,508,"Последняя обнова Windows 11 ЛОМАЕТ систему: перестает работать меню «Пуска» и Wi-Fi. Пользователи столкнулись с критическими проблемами после последней обновы: установка зависает на 60-70%, ломая систему. Windows также бесконечно требует перезагрузку, которая ничего не решает. А самое серьезное: меню «Пуск» перестаёт открываться, Wi-Fi отключается без предупреждений. Проблема затрагивает версии 24H2, 23H2 и 22H2. Временно не обновляемся!"
22,0.8765079051383399,-1.0,0.8035011801559463,124018.82213438734,506,"В России готов к производству первый в мире полностью беспилотный робот-трактор На выставке «Золотая Нива 2024» компания Cognitive Pilot, ведущий российский разработчик ИИ-систем для беспилотной сельхозяйственной техники, продемонстрировала промышленный образец первого в мире полностью автономного, бескабинного мини-трактора. Эта инновационная машина способна выполнять весь спектр сельскохозяйственных операций с любыми навесными орудиями. Качество работ контролируется самой техникой благодаря набору датчиков."
7,0.09258383838383838,-0.9818181818181818,0.808019972931255,247936.1797979798,495,"Массовый СБОЙ в Телеграме — юзеры из нескольких регионов не могут отправить ни сообщения, ни медиа"
